Product name,Product description,Product link,Product unit price,Product amount,Product running total
Arduino Nano,ATmega328P Microcontroller Board,https://robu.in/product/arduino-nano-r3-board-with-ch340-chip-compatible-with-arduino/,450.00,1,531.00
16x2 LCD Display,I2C Interface (Address 0x27),https://robu.in/product/i2c-interface-16x2-character-lcd-display-module-blue-backlight/,350.00,1,944.00
Push Button,Tactile Switch 6x6x5mm,https://robu.in/product/6x6x5mm-tactile-push-button-switch-pack-of-10/,20.00,1,967.60
Breadboard,400 Points Solderless Board,https://robu.in/product/400-points-solderless-breadboard/,110.00,1,1097.40
Jumper Wires,Male-to-Male (Set of 20),https://robu.in/product/65pcs-male-to-male-solderless-flexible-breadboard-jumper-wire/,150.00,1,1274.40
